"place_id","place_name","neighborhood","cuisine","setting","reservation_url","image_url","budget","description","maps_url"
"ChIJcWoDq4BZwokRFDtV51j09Hg","Kossar's Bagels & Bialys","Lower East Side","Deli & Bagel","Fast and casual","Walk in Only","https://static.spotapps.co/website_images/ab_websites/40161_website_v1/about_img_1.jpg","$","Refurbished institution (since 1936) preparing kosher bialys, bagels, sandwiches & babka.","https://maps.app.goo.gl/bAYvgxcFBPVrfL8aA"
"ChIJCar0f49ZwokR6ozLV-dHNTE","Katz's Delicatessen","Lower East Side","Deli & Bagel","Sit-down","Walk in Only","https://pyxis.nymag.com/v1/imgs/47c/184/cd85eacee600f8d4624b78907d58c3210c-katzs-delicatessen-01.rsocial.w1200.jpg","$$","No-frills deli with theatrically cranky service serving mile-high sandwiches since 1888.","https://maps.app.goo.gl/AAxohWRDxt1qxxB37"
"ChIJDaPso0ZZwokRCZ_P67ZMVMI","Russ & Daughters","Lower East Side","Deli & Bagel","Fast and casual","Walk in Only","https://images.squarespace-cdn.com/content/v1/56200fcee4b02025054662d7/1475948884356-LTLH08JSSIALBBH2S1J8/russ-and-daughters-the-welcome-blog","$$","Petite counter-service pizzeria with an old-school vibe offering pies, Italian entrees & sandwiches.","https://maps.app.goo.gl/wbASJWjeTTTifv2Q9"
"ChIJR_f8ggZZwokRdfXSsyN0IGU","Sarge's Delicatessen & Diner","Midtown","Deli & Bagel","Fast and casual","Walk in Only","https://img.cdn4dd.com/cdn-cgi/image/fit=cover,width=600,height=400,format=auto,quality=80/https://doordash-static.s3.amazonaws.com/media/store/header/20644.jpg","$$","Pastrami, matzo ball soup & other Jewish deli fare are found at this updated diner.","https://maps.app.goo.gl/RootnW4BMvNm2oCc8"
"ChIJZyVQJONYwokREKv0a1J7bFI","Ess-a-Bagel","Midtown","Deli & Bagel","Fast and casual","Walk in Only","https://gothammag.com/get/files/image/galleries/bagel.jpg","$","Bustling cafe serving up bagels (with very large toppings selections) & made-to-order sandwiches.","https://maps.app.goo.gl/XmhU3htxxiKdStZy9"
"ChIJ_Tdk93dZwokRNLDg-X91U7s","Ess-a-Bagel","Midtown","Deli & Bagel","Fast and casual","Walk in Only","https://gothammag.com/get/files/image/galleries/bagel.jpg","$$","Bustling cafe serving up bagels (with very large toppings selections) & made-to-order sandwiches.","https://maps.app.goo.gl/RNHEgGLZDSpcKUDy6"
"ChIJw1tqJgtZwokRqQLff0JEDQU","Ess-a-Bagel","Gramercy Park","Deli & Bagel","Fast and casual","Walk in Only","https://gothammag.com/get/files/image/galleries/bagel.jpg","$","Bustling cafe serving up bagels (with very large toppings selections) & made-to-order sandwiches.","https://maps.app.goo.gl/dFyb9W1TcbsEpF7g7"
"ChIJUQobIldbwokRVf1P1kqypSI","Ess-a-Bagel","DUMBO","Deli & Bagel","Fast and casual","Walk in Only","https://gothammag.com/get/files/image/galleries/bagel.jpg","$$","Bustling cafe serving up bagels (with very large toppings selections) & made-to-order sandwiches.","https://maps.app.goo.gl/wKSHUdXqhgPwdJzu8"
"ChIJEXPLsaFZwokRggZzIVKeiPM","Mission Ceviche","Upper East Side","Latin American","Sit-down","https://resy.com/cities/new-york-ny/venues/mission-ceviche?date=2024-07-25&seats=2","https://nypost.com/wp-content/uploads/sites/2/2022/04/220425_Yang_NYP_Features___Credit_Card_Fees___Mission_Cevic.jpg","$$","Sit-down branch of a fast casual mini-chain serving Peruvian fare with a focus on ceviche.","https://maps.app.goo.gl/NdrEbq7LZjyZqcay8"
"ChIJP8URcY5ZwokRhFpdfNcK-FI","Sadelle's","SoHo","Deli & Bagel","Sit-down","https://resy.com/cities/new-york-ny/venues/sadelles?date=2024-07-25&seats=2","https://media.cntraveler.com/photos/5a821cc6fc08c0430e845e4a/16:9/w_2560%2Cc_limit/Sadelles__2018_Sadelle-Restaurant.jpg","$$$","Smoked fish, housemade bagels & other appetizing fare offered in a buzzy, vintage-style spot.","https://maps.app.goo.gl/Wkh7uxLw46nrhH249"
