"place_id","place_name","neighborhood","tags","reservation_url","image_url","budget","description","maps_url","cocktail","dive","jazz","wine","rooftop","speakeasy","beer","pub","lat","lng"
"ChIJc1QTEOJYwokRLAvuSgkm6rA","Ophelia Rooftop","midtown","Rooftop Bar, Cocktail Bar,","https://www.opentable.com/r/ophelia-new-york?ref=1068","https://images.getbento.com/accounts/0dc3afa185c13d245b6a95eba90422e9/media/images/Ophelia_Bar_NYC_-_Rooftop_View-_03-2.jpg?w=1000&fit=max&auto=compress,format&h=1000","$$$","Rooftop lounge at the Beekman Tower sporting plush banquettes, cocktails & East River views.",NA,1,0,0,0,1,0,0,0,40.753401,-73.9661736
"ChIJb67-ZZ1ZwokRRxBYr3GlFp0","Please Don't Tell","east-village","Speakeasy Bar, Cocktail Bar,","https://resy.com/cities/new-york-ny/venues/pdt?date=2024-09-17&seats=2&query=ophelia","https://res.cloudinary.com/the-infatuation/image/upload/q_auto,f_auto/images/PDT-Bar_Area-Jeff_Bell_qzjcfu","$$$","Patrons who enter through a phone booth in Crif Dogs next door sip novel cocktails in a dark space.",NA,1,0,0,0,0,1,0,0,40.7271371,-73.9837411
"ChIJnY19HoFZwokRfs9FwDLVRKw","The Back Room","lower-east-side","Speakeasy Bar,","Walk in Only","https://cdn.savingplaces.org/2015/10/06/05/40/19/387/backroom_interior-stairs_Troy-Hahn.jpg","$$","Hideaway with a Prohibition-esque vibe, offering cocktails in teacups and beer in paper bags.",NA,0,0,0,0,0,1,0,0,40.7187626,-73.9870042
"ChIJvQwwiQFZwokRQDZSQpZrTrk","The Campbell","midtown","Speakeasy Bar, Cocktail Bar,","https://resy.com/cities/new-york-ny/venues/the-campbell?date=2024-09-17&seats=2&query=the%20backroom","https://mercerhotel.com/wp-content/uploads/2022/04/campbell-bar-alt.jpg","$$$$","Classic cocktails & light fare in the ornate Grand Central offices of a 1920's mogul.",NA,1,0,0,0,0,1,0,0,40.752606,-73.977815
"ChIJEQ6D9pRYwokRS-qUAZyIb6k","Bemelmans Bar","upper-east-side","Cocktail Bar,","https://www.exploretock.com/bemelmansbar/","https://images.rosewoodhotels.com/is/image/rwhg/Carlyle_Bemelmans_Durston_Saylor","$$$","The Carlyle Hotel's sophisticated, upscale piano bar, adorned with Ludwig Bemelmans' famed murals.",NA,1,0,0,0,0,0,0,0,40.7744215,-73.963171
"ChIJ___iQYlawokR1pE_9rihJ7A","Sunken Harbor Club","downtown-brooklyn","Cocktail Bar, Speakeasy Bar,","Walk in Only","https://media.cntraveler.com/photos/663828bc4f34977b037289e4/16:9/w_2560%2Cc_limit/Sunken-Harbor-Club_SHC-interior-(credit_-Lizzie-Munro).jpg","$$",NA,NA,1,0,0,0,0,1,0,0,40.691317,-73.987861
"ChIJwVwmQCpZwokRJdgjmkHMexA","Dutch Kills","long-island-city","Cocktail Bar,","Walk in Only","https://res.cloudinary.com/the-infatuation/image/upload/c_scale,w_1200,q_auto,f_auto/NYC_DutchKills_Interiors_AlexStaniloff-2_qwbfhx","$$","Classic & newly invented craft cocktails served with hand-cut ice in a dark, throwback-style space.",NA,1,0,0,0,0,0,0,0,40.7476605,-73.940184
"ChIJUVOgdABZwokR1yJIrReA-lM","Debbie's","long-island-city","Cocktail Bar, Live Jazz, Speakeasy Bar,","Walk in Only","https://static.wixstatic.com/media/702430_e7339da830a04498977dfd9a92f84a82~mv2.jpg/v1/fill/w_824,h_676,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/702430_e7339da830a04498977dfd9a92f84a82~mv2.jpg","$$",NA,NA,1,0,1,0,0,1,0,0,40.7476605,-73.940184
"ChIJEdtfBXZZwokRCe4Fgnwdd7g","Panorama Room","roosevelt-island","Cocktail Bar, Rooftop Bar,","https://resy.com/cities/new-york-ny/venues/panorama-room?date=2024-09-17&seats=1&query=dutch%20kills","https://assets.vogue.com/photos/60e769a76837af06bc2af415/16:9/w_2991,h_1682,c_limit/Panorama_Room%20(1).jpg","$$","Oysters & small plates in a rooftop lounge with glass walls, city views & a trendy, modern vibe.",NA,1,0,0,0,1,0,0,0,40.7563494,-73.955607
"ChIJTXEMkIZZwokRrCyMDjtZFSg","Jadis","lower-east-side","Wine Bar,","https://www.opentable.com/r/jadis-new-york?corrid=2b189fdb-2095-413a-85ce-6d4a8dfa4e78&avt=eyJ2IjoyLCJtIjowLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-09-17T19%3A00%3A00","https://images.otstatic.com/prod/26486848/2/huge.jpg","$$","Cozy wine bar offering drinks & French nibbles in a brick-walled setting with a rear lounge area.",NA,0,0,0,1,0,0,0,0,40.72098,-73.991076
